school,title,depth,link,keywords,previous
http://www.buckswood.co.uk/,"Buckswood School,Home - Buckswood School",[0],https://www.buckswood.co.uk/,parent_Admission_signin_platform_Portal_Student_Apply_password_Staff,http://www.buckswood.co.uk/
http://www.charterhouse.org.uk/,"
	Home | Charterhouse
",[0],http://www.charterhouse.org.uk/,user_Information_iSAM_parent_Parent_information_Admission_isam_User_Portal_useR_Student_Connect_login_admission_Staff,http://www.charterhouse.org.uk/
http://www.kcs.org.uk/,King's College School | Wimbledon,[0],https://www.kcs.org.uk/,SIS_INFORMATION_Parent_ADMISSION_Portal_Sign in_admission,http://www.kcs.org.uk/
http://cambridgeinternationalschool.co.uk/,CIS | Cambridge International School,[0],http://www.cambridgeinternationalschool.co.uk/,Information_Parent_parent_information_Admission_connect_student_apply_admission_Staff,http://cambridgeinternationalschool.co.uk/
http://www.acs-schools.com/,"
	ACS International Schools | London, England & Doha, Qatar 
",[0],http://www.acs-schools.com/,engage_Student_Admission_User_student_Apply_admission,http://www.acs-schools.com/
http://www.nlcs.org.uk/,"
	Welcome to North London Collegiate School
",[0],http://www.nlcs.org.uk/,sis_student_Parent_Admission_parent_Student_Staff,http://www.nlcs.org.uk/
http://www.hockerill.herts.sch.uk/,Welcome to Hockerill Anglo-European College,[0],http://www.hockerill.com/,sis_information_student_Parent_Information_Admission_parent_Student_staff,http://www.hockerill.herts.sch.uk/
http://www.westminster.org.uk/,Westminster School,[0],http://www.westminster.org.uk/,Login,http://www.westminster.org.uk/
http://www.stclares.ac.uk/,"St Clare's, Oxford | International Education Providers",[0],http://www.stclares.ac.uk/,information_Student_Parent_student_Sign In_Staff,http://www.stclares.ac.uk/
http://www.godolphinandlatymer.com/page/default.asp?pid=1&title=Welcome,Home,[0],https://www.godolphinandlatymer.com/page/default.asp?pid=1&title=Welcome,sis_parent_Parent_Admission_Platform_Portal_student_staff,http://www.godolphinandlatymer.com/page/default.asp?pid=1&title=Welcome
http://www.thekfa.org.uk/wp/,The King Fahad Academy | Committed to a balanced education,[0],http://www.thekfa.org.uk/wp/,information_Parent_Admission_Portal_User_student_Sign in_Login_Password_Enrol,http://www.thekfa.org.uk/wp/
